Dead Old Key,Migration Status,Actual English Text
dmp.steps.project.loading.load,MISSING_IN_NEW_JSON,Load projects...
dmp.steps.project.noprojects,MISSING_IN_NEW_JSON,No projects are assigned to you.
dmp.steps.project.summaryLine,MISSING_IN_NEW_JSON,Begin creating your DMP by identifying your project.
dmp.steps.repositories.filter.search,MISSING_IN_NEW_JSON,Search Filter
dmp.steps.repositories.greeting,MISSING_IN_NEW_JSON,"Step 8, Firstname"
dmp.steps.repositories.instructions,dmp.steps.repositories.instructions,"Repositories are used for sustainable data management beyond the lifetime of the project and to make data discoverable and reusable to others. If available, use a domain specific repository for your data. The search filter below may help you to find one."
dmp.steps.repositories.intro,MISSING_IN_NEW_JSON,"Use repositories to sustainably manage your data after the project’s life and to make your data discoverable and reusable. If possible, use a domain specific repository for your data. The search filter below can help you to find one. You’ll also want to set the time for how long your data should remain in the repository. This retention period can be selected in the Set retention period for datasets section"
dmp.steps.repositories.question.date,MISSING_IN_NEW_JSON,Available until
dmp.steps.repositories.remove,MISSING_IN_NEW_JSON,Remove repository
dmp.steps.repositories.search,MISSING_IN_NEW_JSON,Search repository
dmp.steps.repositories.summaryLine,MISSING_IN_NEW_JSON,Choose suitable repositories for your data.
dmp.steps.storage.greeting,MISSING_IN_NEW_JSON,"Step 5, Let’s elaborate on your storage, Firstname"
dmp.steps.storage.instructions,dmp.steps.storage.instructions,This step helps you 1) document who is allowed to see or edit your data in the project phase and 2) find appropriate storage and backup solutions for your data.
dmp.steps.storage.summaryLine,MISSING_IN_NEW_JSON,Define who can access and modify your data and describe your storage and backup strategies.
dmp.steps.summary.data.specify.datasets.none.none,MISSING_IN_NEW_JSON,No research data specified.
dmp.steps.summary.data.specify.datasets.reused,MISSING_IN_NEW_JSON,Reused datasets: 
dmp.steps.summary.data.specify.datasets.unknown.reused,MISSING_IN_NEW_JSON,Not yet known if data will be reused.
dmp.steps.summary.project.selected,MISSING_IN_NEW_JSON,Project: {{project}}.
dmp.steps.summary.repositories.missingexplanation,MISSING_IN_NEW_JSON,Explanation for datasets with restricted/closed access missing.
dmp.steps.summary.repositories.nodata,MISSING_IN_NEW_JSON,No data to be deposited.
dmp.steps.summary.someinfo,MISSING_IN_NEW_JSON,Some information provided.
enum.datakind.NONE,MISSING_IN_NEW_JSON,none
enum.datakind.SPECIFY,MISSING_IN_NEW_JSON,specify
enum.datakind.UNKNOWN,MISSING_IN_NEW_JSON,unknown
enum.exportDmpTemplatetype.FWF,MISSING_IN_NEW_JSON,FWF
enum.exportDmpTemplatetype.HORIZON_EUROPE,MISSING_IN_NEW_JSON,Horizon Europe
enum.exportDmpTemplatetype.SCIENCE_EUROPE,MISSING_IN_NEW_JSON,Science Europe
enum.functionrole.ADMIN,MISSING_IN_NEW_JSON,ADMIN
enum.functionrole.EDITOR,MISSING_IN_NEW_JSON,EDITOR
enum.functionrole.GUEST,MISSING_IN_NEW_JSON,GUEST
enum.functionrole.OWNER,MISSING_IN_NEW_JSON,OWNER
enum.functionrole.SUPPORT,MISSING_IN_NEW_JSON,SUPPORT
enum.fundingstate.APPLIED,MISSING_IN_NEW_JSON,applied
enum.fundingstate.GRANTED,MISSING_IN_NEW_JSON,granted
enum.fundingstate.PLANNED,MISSING_IN_NEW_JSON,planned
enum.fundingstate.REJECTED,MISSING_IN_NEW_JSON,rejected
enum.fundingstate.UNSPECIFIED,MISSING_IN_NEW_JSON,unspecified
enum.identifier.ARK,MISSING_IN_NEW_JSON,ark
enum.identifier.DOI,MISSING_IN_NEW_JSON,doi
enum.identifier.FUNDREF,MISSING_IN_NEW_JSON,fundref
enum.identifier.HANDLE,MISSING_IN_NEW_JSON,handle
enum.identifier.HDL,MISSING_IN_NEW_JSON,hdl
enum.identifier.ISNI,MISSING_IN_NEW_JSON,isni
enum.identifier.OPENID,MISSING_IN_NEW_JSON,openid
enum.identifier.ORCID,MISSING_IN_NEW_JSON,orcid
enum.identifier.OTHER,MISSING_IN_NEW_JSON,other
enum.identifier.PURL,MISSING_IN_NEW_JSON,purl
enum.identifier.ROR,MISSING_IN_NEW_JSON,ror
enum.identifier.URL,MISSING_IN_NEW_JSON,url
enum.identifier.URN,MISSING_IN_NEW_JSON,urn
http.error.person.search,MISSING_IN_NEW_JSON,Failed to find person. 
info.project.funder,MISSING_IN_NEW_JSON,"If your project is missing, please contact [mail@address.example]. You can add project information manually, however you will have to select a funder template when exporting as funder information is not available."
layout.menu.infoDashboard,MISSING_IN_NEW_JSON,You can create a new DMP by clicking the 'Create New DMP' button
layout.menu.mobile.open,MISSING_IN_NEW_JSON,Open page navigation
license.wizard.question.ownIPR,MISSING_IN_NEW_JSON,Do you own copyright and similar rights in your dataset and all its constitutive parts?
plans.table.expanded.duration,MISSING_IN_NEW_JSON,Project duration: {{value}}
preview.loading,MISSING_IN_NEW_JSON,Loading
