old_key,new_key,default_value_en,default_value_de,context,file_source
dmp.steps.data.specify.dialog.edit,dmp.steps.data.specify.dialog.edit,Edit dataset,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.fileFormat,dmp.steps.data.specify.dialog.fileFormat,File Format,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.fileFormat.info,dmp.steps.data.specify.dialog.fileFormat.info,Specify mime type (e.g. image/png) or file format (png),,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.identifier,dmp.steps.data.specify.dialog.identifier,Identifier,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.size,dmp.steps.data.specify.dialog.size,Estimated size,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.source,dmp.steps.data.specify.dialog.source,Source,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.technicalResource,dmp.steps.data.specify.dialog.technicalResource,Technical Resource,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.title,dmp.steps.data.specify.dialog.title,Dataset title,,Page or section title,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.type,dmp.steps.data.specify.dialog.type,Estimated type,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.dialog.view,dmp.steps.data.specify.dialog.view,View dataset,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.doi.not.found,dmp.steps.data.specify.doi.not.found,No dataset found.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.doi.search,dmp.steps.data.specify.doi.search,Enter DOI...,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.greeting,dmp.steps.data.specify.greeting,"Let’s talk about data, Firstname",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.instructions,dmp.steps.data.specify.instructions,"In this step, you specify the datasets (i.e., groups of data with similar properties) you will produce or reuse in your project.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.intro.default,dmp.steps.data.specify.intro.default,Research data comes in all forms and sizes. The table below helps you to describe the data sets (i.e. groups of data with similar properties) you are expecting to create during the project.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.intro.reused,dmp.steps.data.specify.intro.reused,Research data comes in all forms and sizes. The table below helps you to describe the data sets (i.e. groups of data with similar properties) you are expecting to reuse during the project.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.label,dmp.steps.data.specify.label,Specify research data,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.question.datasets,dmp.steps.data.specify.question.datasets,Create names for your datasets,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.question.kind,dmp.steps.data.specify.question.kind,What kinds of research data will you create?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.question.nodata,dmp.steps.data.specify.question.nodata,Please explain why you won't create or analyse any research data.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.question.reused,dmp.steps.data.specify.question.reused,What kinds of research data will you reuse?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.summaryLine,dmp.steps.data.specify.summaryLine,Describe your research data.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.tab.access,dmp.steps.data.specify.tab.access,Access rights,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.tab.cancel,dmp.steps.data.specify.tab.cancel,Cancel,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.tab.doi,dmp.steps.data.specify.tab.doi,Enter DOI,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.tab.introStorage,dmp.steps.data.specify.tab.introStorage,This step helps you to document who is allowed to see or edit your data in the project phase and to find good storage and backup solutions for your data.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.tab.manual,dmp.steps.data.specify.tab.manual,Manually,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.tab.storage,dmp.steps.data.specify.tab.storage,Storage,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.tab.upload,dmp.steps.data.specify.tab.upload,Upload sample data,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.header.actions,dmp.steps.data.specify.table.header.actions,Actions,,Table header,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.header.comment,dmp.steps.data.specify.table.header.comment,Comment,,Table header,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.header.dataset,dmp.steps.data.specify.table.header.dataset,Dataset,,Table header,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.header.datatype,dmp.steps.data.specify.table.header.datatype,Datatype,,Table header,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.header.description,dmp.steps.data.specify.table.header.description,Description,,Table header,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.header.fileFormat,dmp.steps.data.specify.table.header.fileFormat,File Format,,Table header,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.header.size,dmp.steps.data.specify.table.header.size,Size,,Table header,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.header.source,dmp.steps.data.specify.table.header.source,Source,,Table header,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.heading.default,dmp.steps.data.specify.table.heading.default,Data,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.heading.new,dmp.steps.data.specify.table.heading.new,New data,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.data.specify.table.heading.reused,dmp.steps.data.specify.table.heading.reused,Existing data,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.greeting,dmp.steps.documentation.greeting,"Now onto Step 4, Firstname",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.instructions,dmp.steps.documentation.instructions,"This step helps you to provide information on how data will be organised during the project, which data quality control measures will be used, what documentation will be prepared and made available to enable the reuse of data, and which metadata will be provided.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.intro,dmp.steps.documentation.intro,"This step helps you to provide information on how data will be organised during the project, which data quality control measures are used, what documentation will be prepared and made available to enable reuse of data, and which metadata will be provided.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.label,dmp.steps.documentation.label,Documentation and data quality,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.question.dataQuality,dmp.steps.documentation.question.dataQuality,How will the consistency and quality of data collection be controlled?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.question.datageneration,dmp.steps.documentation.question.datageneration,How will the research data be generated or reused and which methods and software will be used?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.question.documentation,dmp.steps.documentation.question.documentation,How will you provide documentation needed to validate data analysis and facilitate data reuse?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.question.metadata,dmp.steps.documentation.question.metadata,"Please indicate which metadata will be provided to help others identify, discover and reuse the data.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.question.otherDataQuality,dmp.steps.documentation.question.otherDataQuality,Please specify what other measures are taken:,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.question.structure,dmp.steps.documentation.question.structure,How will you structure the data and handle versioning?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.documentation.summaryLine,dmp.steps.documentation.summaryLine,Outline how your data will be organised throughout the project.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.end.greeting,dmp.steps.end.greeting,"Finally, let’s review your work, Firstname",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.end.instructions,dmp.steps.end.instructions,"Below is a summary of the information you provided. To add more information, go to the previous step(s).",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.end.label,dmp.steps.end.label,Summary,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.end.summaryLine,dmp.steps.end.summaryLine,Check if you covered everything.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.ethical.heading,dmp.steps.ethical.heading,Ethical aspects,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.ethical.question.committeeReviewed.prefix,dmp.steps.ethical.question.committeeReviewed.prefix,"Was your research plan reviewed by an ethics committee, the ",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.ethical.question.committeeReviewed.researchCommittee.link,dmp.steps.ethical.question.committeeReviewed.researchCommittee.link,https://www.tuwien.at/forschung/fti-support/responsible-research-practices/research-ethics-committee,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.ethical.question.committeeReviewed.researchCommittee.text,dmp.steps.ethical.question.committeeReviewed.researchCommittee.text,Ethics Committee of your institution,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.ethical.question.committeeReviewed.suffix,dmp.steps.ethical.question.committeeReviewed.suffix,", or a similar body?",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.ethical.question.ethicalIssueReport,dmp.steps.ethical.question.ethicalIssueReport,Please provide the ethical issue report.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.ethical.question.ethicalIssues,dmp.steps.ethical.question.ethicalIssues,"Beyond the use of personal data, are there any other ethical issues associated with your research?",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.ethical.question.humanParticipants,dmp.steps.ethical.question.humanParticipants,Will you involve human participants in the project and thereby collect or process their personal data?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.greeting,dmp.steps.legal.greeting,"On to Step 6, you’re halfway there, Firstname!",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.heading,dmp.steps.legal.heading,Legal aspects,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.instructions,dmp.steps.legal.instructions,"This step helps you consider potential issues concerning personal data, intellectual property rights, and ownership and asks you for basic information on the handling of ethical issues within this project.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.intro,dmp.steps.legal.intro,"This step helps you consider potential issues concerning personal data, intellectual property rights and ownership and asks you for basic information on the handling of ethical issues within this project.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.label,dmp.steps.legal.label,Legal and ethical aspects,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.link.sensitiveData,dmp.steps.legal.link.sensitiveData,https://ec.europa.eu/info/law/law-topic/data-protection/reform/rules-business-and-organisations/legal-grounds-processing-data/sensitive-data/what-personal-data-considered-sensitive_en,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.dataRightsAndAccessControl,dmp.steps.legal.question.dataRightsAndAccessControl,List who will have the rights to control access over which dataset(s).,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.dataset.legalRestrictions,dmp.steps.legal.question.dataset.legalRestrictions,Please select the datasets concerned:,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.dataset.personalData,dmp.steps.legal.question.dataset.personalData,Please select the datasets containing personal data,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.dataset.sensitiveData,dmp.steps.legal.question.dataset.sensitiveData,Please select the datasets containing sensitive data,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.legalRestrictions,dmp.steps.legal.question.legalRestrictions,Are there any other legal restrictions on how data is processed or shared?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.legalRestrictionsComment,dmp.steps.legal.question.legalRestrictionsComment,Please specify the legal restrictions:,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.legalRestrictionsDocuments,dmp.steps.legal.question.legalRestrictionsDocuments,In which document(s) are these restrictions specified?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.otherDataSecurityMeasures,dmp.steps.legal.question.otherDataSecurityMeasures,Please specify what other measures are taken:,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.otherLegalRestrictionsDocuments,dmp.steps.legal.question.otherLegalRestrictionsDocuments,Please specify the other documents:,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.otherPersonalDataCompliance,dmp.steps.legal.question.otherPersonalDataCompliance,Please specify what other measures are taken:,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.personalData,dmp.steps.legal.question.personalData,Will personal data be collected/used as part of the project?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.personalDataCompliance,dmp.steps.legal.question.personalDataCompliance,How will compliance with data protection be ensured?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.sensitiveData.link,dmp.steps.legal.question.sensitiveData.link,sensitive personal data,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.sensitiveData.prefix,dmp.steps.legal.question.sensitiveData.prefix,"Is your data or part of it sensitive, for example",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.sensitiveData.suffix,dmp.steps.legal.question.sensitiveData.suffix,", politically sensitive information, or trade secrets?",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.sensitiveDataAccess,dmp.steps.legal.question.sensitiveDataAccess,Who will be authorised to access sensitive data?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.question.sensitiveDataSecurity,dmp.steps.legal.question.sensitiveDataSecurity,What kind of additional security measures will be taken to ensure that stored and transferred sensitive data is safe?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.legal.summaryLine,dmp.steps.legal.summaryLine,Address important legal and ethical dimensions of your project.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.greeting,dmp.steps.licensing.greeting,"Advancing to Step 7, Firstname",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.hint,dmp.steps.licensing.hint,Please indicate which datasets you plan to keep closed or publish. Select a license for the datasets you want to publish and estimate the release date.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.info,dmp.steps.licensing.info,Choose a license from the list or use the license selector to find an appropriate license.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.instructions,dmp.steps.licensing.instructions,"This step helps you to specify the access to your research output in the future: Which of your datasets will be published, which will be provided to interested persons on request only, and which need to be under lock and key, for contractual, regulatory, or ethical reasons? It also reminds you to choose a license for your open data that clearly describes the reuse conditions for potential users. To comply with the FAIR principles, metadata should be published, even if the data is closed or restricted.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.intro,dmp.steps.licensing.intro,"This step helps you to specify the access to your research output in the future: Which of your data sets will be published, which will be provided to interested persons on request only and which need to be under lock and key, for contractual, regulatory, or ethical reasons? It also reminds you to choose a license for your open data that clearly describes the reuse conditions for potential reusers. To comply with the FAIR principles, metadata should be published, even if the data are closed or restricted.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.label,dmp.steps.licensing.label,Data access and licensing,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.question.closedAccessInfo,dmp.steps.licensing.question.closedAccessInfo,Explain why the data will not be accessible (closed access):,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.question.dataAccess,dmp.steps.licensing.question.dataAccess,Data Access,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.question.hint,dmp.steps.licensing.question.hint,The release date was set to the project end date. Feel free to modify it.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.question.license,dmp.steps.licensing.question.license,Planned license,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.question.restrictedAccessInfo,dmp.steps.licensing.question.restrictedAccessInfo,"The following dataset(s) will have access restrictions, explain why and clearly describe the access conditions:",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.question.startDate,dmp.steps.licensing.question.startDate,Estimated publication date,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.rightLabel,dmp.steps.licensing.rightLabel,Access control and licensing overview,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.summaryLine,dmp.steps.licensing.summaryLine,Elaborate on future access to your data. ,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.warning.legalRestrictions,dmp.steps.licensing.warning.legalRestrictions,You indicated in step 6 that this dataset is subject to legal restrictions. Do you really want to publish the dataset without restrictions?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.warning.personalData,dmp.steps.licensing.warning.personalData,"You indicated in step 6 that this dataset contains sensitive personal data. Do you really want to publish the dataset open, without restrictions?",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.licensing.warning.pseudonymisation,dmp.steps.licensing.warning.pseudonymisation,Have you considered anonymisation/pseudonymisation?,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.confirm.dialog.button.cancel,dmp.steps.people.confirm.dialog.button.cancel,Cancel,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.confirm.dialog.button.confirm,dmp.steps.people.confirm.dialog.button.confirm,Confirm,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.confirm.dialog.heading,dmp.steps.people.confirm.dialog.heading,Remove contributor,,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.confirm.dialog.question,dmp.steps.people.confirm.dialog.question,"Are you sure you want to remove this contributor?
  They are responsible for the deletion of the following datasets:",,Dialog box content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contact.add,dmp.steps.people.contact.add,Set as contact,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contact.cancel,dmp.steps.people.contact.cancel,Cancel,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contact.contributor,dmp.steps.people.contact.contributor,Change to contributor,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contact.edit,dmp.steps.people.contact.edit,Edit contact person,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contact.editContributor,dmp.steps.people.contact.editContributor,Edit contributor,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contact.info,dmp.steps.people.contact.info,Select a contact from the list of contributors using the button,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contact.person,dmp.steps.people.contact.person,Contact person,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contact.remove,dmp.steps.people.contact.remove,Remove contact person,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contact.title,dmp.steps.people.contact.title,Project contact,,Page or section title,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contact.update,dmp.steps.people.contact.update,Update,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contributor.add,dmp.steps.people.contributor.add,Add as contributor,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contributor.remove,dmp.steps.people.contributor.remove,Remove from contributors,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contributor.role,dmp.steps.people.contributor.role,Role,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.contributor.search,dmp.steps.people.contributor.search,Search contributor,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.general.addAll,dmp.steps.people.general.addAll,Add all contributors,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.general.recommendations,dmp.steps.people.general.recommendations,Recommended contributors:,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.general.search,dmp.steps.people.general.search,Find Contributors:,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.greeting,dmp.steps.people.greeting,"Welcome to Step 2, Firstname",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.instructions,dmp.steps.people.instructions,"In this step, you add individuals to the project and provide additional information about them, for example, their role in the project. To mark someone as the contact person click the person-with-envelope icon next to their role. You can change the existing information and add more contributors via the search (choose a search service and start typing the name). Please provide a minimum of one contact person as well as a data manager (it can be the same person).",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.intro,dmp.steps.people.intro,"In this step, you add people involved in the project and provide additional info about them, e.g., their role. In this example, the project leader’s info has already been added and marked as the contact person (note icon with person and envelope next to their name). You can add more contributors via the search field (ensure you select the appropriate database, e.g., ORCID), or manually via the “Add contributor manually button”. Please provide a minimum of one contact person as well as a data manager (it can be the same person).",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.label,dmp.steps.people.label,People involved in data management,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.manual.input.hide,dmp.steps.people.manual.input.hide,Input contributor manually,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.manual.input.question.firstname,dmp.steps.people.manual.input.question.firstname,First name,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.manual.input.question.lastname,dmp.steps.people.manual.input.question.lastname,Last name,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.manual.input.question.mbox,dmp.steps.people.manual.input.question.mbox,e-mail address,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.manual.input.question.orcid,dmp.steps.people.manual.input.question.orcid,ORCID ID,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.manual.input.show,dmp.steps.people.manual.input.show,Add contributor manually,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.manual.input.tooltip,dmp.steps.people.manual.input.tooltip,Use to add project contributor not found in database above,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.nopeople,dmp.steps.people.nopeople,No recommended contributors available,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.rightLabel,dmp.steps.people.rightLabel,Identify data management contributors,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.search,dmp.steps.people.search,Search for person...,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.search.service,dmp.steps.people.search.service,Search service,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.people.summaryLine,dmp.steps.people.summaryLine,Identify team members in your project.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.greeting,dmp.steps.project.greeting,"Hi Firstname, let’s get started",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.input.acronym,dmp.steps.project.input.acronym,Acronym,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.input.button.existing,dmp.steps.project.input.button.existing,Update project info,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.input.button.new,dmp.steps.project.input.button.new,Add project,,Button label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.input.date,dmp.steps.project.input.date,Start and end date,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.input.datehint,dmp.steps.project.input.datehint,DD/MM/YYYY – DD/MM/YYYY,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.input.description,dmp.steps.project.input.description,Project description,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.input.info,dmp.steps.project.input.info,Project information,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.input.title,dmp.steps.project.input.title,Project title,,Page or section title,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.instructions,dmp.steps.project.instructions,"In this step, you choose a project from your institution’s project database (if integrated) or manually input your project.",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.label,dmp.steps.project.label,Choose project,,Form label,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.list,dmp.steps.project.list,Choose project from the project database,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.loading.failed,dmp.steps.project.loading.failed,Projects could not be loaded.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.loading.load,dmp.steps.project.loading.load,Load projects...,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.manual.input,dmp.steps.project.manual.input,Input project manually,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.noprojects,dmp.steps.project.noprojects,No projects are assigned to you.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.search,dmp.steps.project.search,Search project...,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.select,dmp.steps.project.select,Please select the project you want to create a DMP for:,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.selected,dmp.steps.project.selected,Selected project:,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.success,dmp.steps.project.success,Updated project information!,,Success notification,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.summaryLine,dmp.steps.project.summaryLine,Begin creating your DMP by identifying your project.,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.project.warning.dmp,dmp.steps.project.warning.dmp,A DMP already exists for this project,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.repositories.add,dmp.steps.repositories.add,Add repository,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.repositories.filter,dmp.steps.repositories.filter,Filter repositories,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.repositories.filter.find,dmp.steps.repositories.filter.find,Find repositories,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.repositories.filter.reset,dmp.steps.repositories.filter.reset,Reset filter,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.repositories.filter.search,dmp.steps.repositories.filter.search,Search Filter,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.repositories.filters,dmp.steps.repositories.filters,Filters,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.repositories.find,dmp.steps.repositories.find,Find repository,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.repositories.find.other,dmp.steps.repositories.find.other,Find other repository,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.repositories.greeting,dmp.steps.repositories.greeting,"Step 8, Firstname",,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
dmp.steps.repositories.heading,dmp.steps.repositories.heading,Repositories,,DMP form step content,libs/damap/src/assets/i18n/templates/en.json
